record_id,company_name,source_url,source_text_path,mhlw_source_url,mhlw_text_path,association_text_path,verification_status
company-bdec1b1d,株式会社 ＮＴＴネクシア,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C18++++,data/raw/mhlw/detail-0038-01_ユ_300412.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C18++++,data/raw/mhlw/detail-0038-01_ユ_300412.html,,mhlw_verified
company-e93e0b5e,株式会社 Ｍａｍｍｙ Ｐｒｏ,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300415%2C1+++++,data/raw/mhlw/detail-0039-01_ユ_300415.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300415%2C1+++++,data/raw/mhlw/detail-0039-01_ユ_300415.html,,mhlw_verified
company-183cda18,小石川 志津加,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300430%2C1+++++,data/raw/mhlw/detail-0040-01_ユ_300430.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300430%2C1+++++,data/raw/mhlw/detail-0040-01_ユ_300430.html,,mhlw_verified
company-a190ca12,株式会社 ＨＫＳ ＪＡＰＡＮ,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300436%2C1+++++,data/raw/mhlw/detail-0041-01_ユ_300436.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300436%2C1+++++,data/raw/mhlw/detail-0041-01_ユ_300436.html,,mhlw_verified
company-f63f5b74,社会医療法人社団 三草会,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300443%2C1+++++,data/raw/mhlw/detail-0042-01_ユ_300443.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300443%2C1+++++,data/raw/mhlw/detail-0042-01_ユ_300443.html,,mhlw_verified
company-e8be14dc,株式会社 サンコー,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300446%2C1+++++,data/raw/mhlw/detail-0043-01_ユ_300446.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300446%2C1+++++,data/raw/mhlw/detail-0043-01_ユ_300446.html,,mhlw_verified
company-ff8b1207,株式会社 ＳＰＩ,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300447%2C1+++++,data/raw/mhlw/detail-0044-01_ユ_300447.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300447%2C1+++++,data/raw/mhlw/detail-0044-01_ユ_300447.html,,mhlw_verified
company-36e5f022,株式会社 ビツグベン,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300461%2C1+++++,data/raw/mhlw/detail-0045-01_ユ_300461.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300461%2C1+++++,data/raw/mhlw/detail-0045-01_ユ_300461.html,,mhlw_verified
company-b0ff65e1,株式会社 ノーステクノロジー,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300472%2C1+++++,data/raw/mhlw/detail-0046-01_ユ_300472.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300472%2C1+++++,data/raw/mhlw/detail-0046-01_ユ_300472.html,,mhlw_verified
company-f2ec46a8,合通プラス 株式会社,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300476%2C1+++++,data/raw/mhlw/detail-0047-01_ユ_300476.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300476%2C1+++++,data/raw/mhlw/detail-0047-01_ユ_300476.html,,mhlw_verified
